exhibitionNumber,exhibitionTitle,Link to bampfa.org exhibition record,artistsAdditional,artistList,exhibitionDates,Location,bampfaCurator,outsideOrganizer,supplementaryProgramsEtc,catalogExists,brochureExists,didTour,Works from Collection? XX = list of 500,onListof500priorityWorks,isPriorityForWebsite
470,Anxious Visions: Surrealist Art,,,,"October 3-December 30, 1990","Galleries 2, 3, 4",Sidra Stich,,"Symposium, film series, talks and readings",Catalog,,,,,x
471,"Richard Diebenkorn: Etchings for the ""Poems of W.B. Yeats""",,,Richard Diebenkorn,"October 13-December 30, 1990",Theater Gallery,Lawrence Rinder,,,,,,,,
472,Charles Ray / MATRIX 140,,,Charles Ray,"November 1-December 20, 1990",Gallery 1,Lawrence Rinder,,,,Brochure,,,,
473,Jim Shaw / MATRIX 141,,,Jim Shaw,"November 7-December 20, 1990",Gallery 1,Lawrence Rinder,,,,Brochure,,,,
474,The Independent Group: Postwar Britain and the Aesthetics of Plenty,,,,"February 6-April 21, 1991","Galleries 2, 3, 4",Jacquelynn Baas,"Co-Organized by UAM, ICA London, Hood Museum and MOCA Los Angeles. Co-curated by Jacquelynn Baas, James Lingwood, Timothy Rub, Elizabeth Smith.",,Catalog,,Tour,,,
475,Kiki Smith / MATRIX 142,,,Kiki Smith,"February 7-April 15, 1991",Gallery 1,Lawrence Rinder,,,,Brochure,,,,
476,Zoe Leonard / MATRIX 143,,,Zoe Leonard,"April 15-June 20, 1991",Gallery 1 ,Lawrence Rinder,,,,Brochure,,,,
477,Lewis De Soto / MATRIX 144,,,Lewis De Soto,"April 15-June 20, 1991",Gallery 1,Lawrence Rinder,,,,Brochure,,,,
478,MFA,,,,,"Galleries 2, 3",Lawrence Rinder,,,,,,,,
479,Philip Galgiani: Caesar,,,Philip Galgiani,"May 18-August 25, 1991",Theater Gallery,Lawrence Rinder,,,,,,,,
480,Rosemarie Trockel,,,Rosemarie Trockel,"June 12-September 8, 1991","Galleries 2, 3, 4",Sidra Stich,"Co-organized with the Institute of Contemporary Art, co-curated by Sidra Stich and Elisabeth Sussman",,Catalog,,Tour,,,
481,Ernst Caramelle / MATRIX 145,,,Ernst Caramelle,"July 6-September 15, 1991",Gallery 1,Lawrence Rinder,,,,Brochure,,,,
482,Tim Maul / MATRIX 146,,,Tim Maul,"July 6-September 15, 1991",Gallery 1,Lawrence Rinder,,,,Brochure,,,,
483,Frida / Trotsky: Photographs by Debra Bloomfield,,,Debra Bloomfield,"September 14-December 8, 1991",Theater Gallery,Lawrence Rinder,,,Catalog,,,,,
484,Howard Hodgkin / MATRIX 147,,,Howard Hodgkin,"September 21-December 15, 1991",Gallery 1,Lawrence Rinder,,,,Brochure,,,,
485,A Profile of the Seventeenth Century: Prints from Van Dyck's Iconography,,,,"October 9-December 29, 1991",Gallery 4,"Jacquelynn Baas, Lynne Kimura",,,,,,,,
486,Herminia Albarran Romero / MATRIX 148,,,Herminia Albarran Romero,"October 15-December 15, 1991",Gallery 1,Lawrence Rinder,,,,Brochure,,,,
487,Hachivi Edgar Heap of Birds / MATRIX 149,,,Edgar Heap of Birds,"January 2-April 1, 1992",Gallery 1,Lawrence Rinder,,,,Brochure,,,,
488,The Here and the Hereafter: Images of Paradise in Islamic Art,,,,"January 22-March 29, 1992",Gallery 2,Jacquelynn Baas,"Organized by Hood Museum of Art, Dartmouth College, Walter B. Denny, guest curator",,Catalog,,,,,
489,"Seeing Through ""Paradise"": Artists and the Terezin Concentration Camp",,,,"January 25-April 5, 1992","Galleries 3, 4",Lawrence Rinder ,"Organized by the Massachusetts College of Arts, Boston. Johanna Branson, Michele Furst, and Jeffrey Keough, co-curators",,Catalog,,,,,
490,Robert Duncan: A Poet's Art,,,Robert Duncan,"February 5-April 12, 1992",Theater Gallery,Staff,"Christopher Wagstaff, guest curator","Concurrent exhibition at The Bancroft Library, February 9-May 30",Catalog,,,,,
492,Manuel Ocampo / MATRIX 150,,,Manuel Ocampo,"April 15-June 15, 1992",Gallery 2,Lawrence Rinder,,,,Brochure,,,,
493,Mikhail O. Dlugach: Cinema Posters of the Russian Avant-Garde,,,Mikhail O. Dlugach,"April 18-October 11, 1992",Theater Gallery,Edith Kramer,"Martin Muller, guest curator, with Elena Razlogova",,,,,,,
494,Jill Stoner: Rubashov's House,,,Jill Stoner,"April 22-June 28, 1992",Gallery 1,Lawrence Rinder ,"With Angela Herren, intern",,,,,,,
495,MFA/UCB/1992,,,Meredith Broberg;Shirley Carter;Anthony L. Coleman;Trina Cooper;Claire B. Cotts;Sheila Ghidini;Pery W. Hu;Jeffrey King;Thad Martin;Elizabeth Razzano;Cynthia Ann Semien;Juliette A. Tancill;Lynn J. Whitson;and Paul Clarkson Windsor,"April 25-June 14, 1992","Galleries 3, 4",Lawrence Rinder,,,,,,,,
496,Contemporary California Art from the Collection: Part I,,,,"May 13-August 23, 1992",Gallery 6,Lawrence Rinder,,,,,,x,,
497,Aren't they lovely? (Andrea Fraser),,,Andrea Fraser,"June 27-September 19, 1992",Gallery 4,Lawrence Rinder ,"Andrea Fraser, guest curator",,,,,,,
498,Raymond Pettibon / MATRIX 151,,,Raymond Pettibon,"July 1-September 1, 1992",Gallery 1,Lawrence Rinder,,,,Brochure,,,,
499,Gilberto Zorio / MATRIX 152,,,Gilberto Zorio,"July 1-September 1, 1992",Gallery 1,Constance Lewallen,"Constance Lewallen, guest curator",,,Brochure,,,,
500,Images of Times Now Past: Japanese Woodblock Prints,,,,July 15-September 13 1992,Gallery 2,Lynne Kimura,"Melinda Takeuchi, guest curator",,,,,,,
502,Contemporary California Art from the Collection: Part II,,,,"September 2, 1992-January 31, 1993",Gallery 6,Lawrence Rinder,,,,,,x,,
503,Per Kirkeby: Paintings and Drawings,,,Per Kirkeby,"September 12-November 15, 1992",Gallery 1,Lawrence Rinder ,"Organized by MIT List Visual Arts Center, Cambridge, MA",,,,,,,
504,Matt Heckert: Mechanical Sound Orchestra / MATRIX 153,,,Matt Heckert,"September 15-November 20, 1992",Gallery B,Lawrence Rinder,,,,Brochure,,,,
505,Postwar Abstract Painting and Sculpture from the Collection,,,,"September 23, 1992-January 31, 1993",Gallery 4,Staff,"Jeannene Przyblyski, guest curator",,,,,x,,
506,On Painting: The Work of Elmer Bischoff and Joan Brown,,,Elmer Bischoff;Joan Brown,"October 7-December 27, 1992","Galleries 2, 3",Staff,"Christopher Brown (Bischoff), David Simpson (Brown)",,Catalog,,,,,
507,Fire in the Hills,,,,"October 17-December 13, 1992",Theater Gallery,Staff,,,,,,,,
509,Cecilia Vicuna: El Ande Futuro / MATRIX 154,,,Cecilia Vicuna,"November 20, 1992-January 20, 1993",Gallery 1,Lawrence Rinder,,,,Brochure,,,,
510,Max Ernst: The Sculpture,,,Max Ernst,"December 12, 1992-March 7, 1993",Gallery B,Staff,"Organized by Themis Visual Arts, Edinbugh",,Catalog,,,,,
512,Edvard Munch and His Models 1912-1943,,,Edvard Munch,January 27-March 21 1993,"Galleries 2, 3",James Steward,"Organized by the Munch Museum, Oslo, programs included collaborationWith Berkeley Rep (performance of ""Ibsen Women"" by Juni Dahr)",,Catalog,,,,,
513,Lutz Bacher: Jim & Sylvia / MATRIX 155,,,Lutz Bacher,"February 15-April 15, 1993",Gallery 1,Lawrence Rinder,,,,Brochure,,,,
514,Jonathan Hammer: Gentlemen Friends / MATRIX 156,,,Jonathan Hammer,"February 15-April 15, 1993",Gallery 1,Lawrence Rinder,,,,Brochure,,,,
517,Linda Roush-Hudson: Light Foil / MATRIX 157,,,Linda Roush-Hudson,"March 20-June 13, 1993",Gallery B,Lawrence Rinder,,,,Brochure,,,,
519,Doug Hall: UNIVERSITY / MATRIX 158,,,Doug Hall,"April 20-June 15, 1993",Gallery 1,Lawrence Rinder,"With Jorden Biren, Mitchell Goodman, and John Rapko marking 125th anniversary of UC Berkeley",,,Brochure,,,,
520,MFA,,,Monica Bryant;Jerry Carniglia;Erika Cosby;Mathew Crawley;David Fogler;Charlene Milgrim;Tracy Miller;José Ramirez;Dorothy Robinson;Carol J. Sewart;and Helena Wronski,"April 24-June 20, 1993","Galleries 2, 3",Lawrence Rinder,,,,,,,,
521,Contemporary Prints from the Collection,,,,"May 8-June 27, 1993",Theater Gallery,Lawrence Rinder,,,,,,x,,
522,"Larry Eigner ""Again dawn"" / MATRIX 159",,,Larry Eigner,"June 15-October 15, 1993",Exterior walls,Lawrence Rinder,,,,Brochure,,,,
524,"Homeless: Portraits of Americans in Hard Times, Photographs by Howard Schatz",,,Howard Schatz,"September 25-December 12, 1993",Theater Gallery,Lawrence Rinder,,,,,,,,
525,"Dennis Oppenheim: Land and Body Projects, 1967-1971",,,Dennis Oppenheim,"October 13, 1993-January 2, 1994",Gallery 1,Lawrence Rinder,,,,,,,,
526,Richard Tuttle: Space/sculpture / MATRIX 160,,,Richard Tuttle,"October 15, 1993-January 1, 1994",Gallery B,Lawrence Rinder,,,,Brochure,,,,
527,Visions of the Dharma: Japanese Buddhist Paintings and Prints in the Honolulu Academy of Arts,,,,"October 13, 1993-January 2, 1994","Galleries 2, 3",Bonnie Pitman,Organized by the Honolulu Academy of Arts,,,,,,,
528,Asian Galleries: Zen Painting,,,,"October 13-April 17, 1993","Galleries C, D","Sheila Keppel, guest curator",,,,,,,,
530,The Intimate Collaboration: Teaberry Press,,,,"December 18, 1993-March 27, 1994",Theater Gallery,James Steward,,,,,,,,
531,Hans Hofmann: Erle Loran Selections,,,Hans Hofmann,"January-March 16, 1994",Gallery A,Lawrence Rinder ,"Erle Loran, guest curator",,,,,x,,
532,Felix Gonzalez-Torres / MATRIX 161,,,Felix Gonzalez-Torres,"January 15-March 20, 1994","Gallery 1, billboards",Lawrence Rinder,,,,Brochure,,,,
533,Allan Sekula: Fish Story (a work in progress) / MATRIX 162,,,Allan Sekula,"January 15-March 20, 1994",Gallery 1,Lawrence Rinder,,,,Brochure,,,,
534,From Pasture to Polis: Art in the Age of Homer,,,,"January 19-March 20, 1994",,James Steward,,,,,,,,
535,Prints from the Collection in Honor of R.E. Lewis,,,,"January 26-April 10, 1994",Gallery 3,James Steward,,,,,,x,,
538,Passionate Visions of the American South: Self-Taught Artists from 1940 to the Present,,,,"March 2-July 10, 1994",Gallery B,Bonnie Pitman,"Organized by the New Orleans Museum of Art, Alice Rae Yelen, guest curator",,Catalog,,,,,
539,Film Posters,,,,"March 30-May 15, 1994",Theater Gallery,Staff,,,,,,,,
540,Terry Fox: Articulations (Labyrinth Text Works),,,,"April 13-June 26, 1994","Gallery 1, 2",Lawrence Rinder,,,,,,,,
541,The World Seen: Landscape Prints and Drawings 1500-1914,,,,"April 13-September 25, 1994",Theater Gallery,James Steward,,,,,,,,
542,Ouattara: Cosmic Vision / MATRIX 163,,,Ouattara Watts,"April 25-June 25, 1994",Gallery 3,Lawrence Rinder,,,,Brochure,,,,
543,Sam Francis: 1994 UCB Art Department Distinguished Alumnus,,,Sam Francis,"July 8-November 13, 1994",Gallery 3,Jacquelynn Baas,,,,,,,,
544,MFA,,,Derrick Gomez;Holden Herbert;Timothy Hower;Meg Mack;Kenneth Myatt;Anne Peet;Jin Song;and Miaoyan Zhang,"July 9-August 7, 1994","Galleries 1, 2",Lawrence Rinder,,,,,,,,
546,Drew Beattie and Daniel Davidson / MATRIX 164,,,Drew Beattie;Daniel Davidson,"August 20-November 20, 1994",Gallery 1,Lawrence Rinder,,,,Brochure,,,,
547,The Luminous Line: Nineteenth-Century Drawings and Watercolors,,,,"September 7-December 6, 1994",Gallery 2,James Steward,,,,,,,,
548,Face of the Gods: Art and Altars of Africa and the African Americas,,,,"September 28, 1994-February 19, 1995",Gallery B,Bonnie Pitman,"Organized by The Museum for African Art, Susan Vogel, Robert Farris Thompson, guest curator",,Catalog,,,,,
549,Dante's Inferno: Prints by Michael Mazur,,,Michael Mazur,"October 5-December 11, 1994",Theater Gallery,James Steward,,,,,,,,
550,American Vernacular: Folk Art from the Collection,,,,"December 14, 1994-April 16, 1995",Gallery 3,James Steward,,,,,,,,
551,Inside the Large Small House: The Residential Design Legacy of William W. Wurster,,,,"December 17, 1994-February 26, 1995","Theater Gallery, Wurster Hall",James Steward,Organized by R. Thomas Hille with Daniel Gregory,,Catalog,,,,,
552,In a Different Light,,"David Tudor, Rudy Lemcke, Collier Schorr, Andy Warhol, Ross Bleckner, Judy Chicago, Judie Bamber, Michael Jenkins, Peter Nagy, David Wojnarowicz, Zoe Leonard, Rex Ray, Ree Morton, Scott Burton, Peter Hujar, Brett Reichman, J. John Priola, Arch Connelly, David Dupuis, Joan Snyder, Eva Hesse, D-L Alvarez, Harmony Hammond, Jonathan Hammer and Linda Matalon (Hammer), Nancy Grossman, Catherine Opie, Robert Mapplethorpe, Laura Aguilar, Man Ray, Steve Wolfe, Scott Hewicker, Nicola Tyson, Nan Goldin, Robert Gober, Robert Morris, Amy Adler, Sherrie Levine, Marcel Duchamp, Deborah Kass, Christopher Makos, General Idea, Vito Acconci, Lynda Benglish, Glenn Ligon, Roni Horn, Romaine Brooks, Pavel Tchelitchew, Tony Greene, Donald Moffett, Karen Kilimnik, Connie Samaras, Richard Hawkins, Steve Wolfe, Paul Pfeiffer, Joel Otterson, Robert Indiana, Marsden Hartley, Millie Wilson, Mike Kelley, John LIndell, The Kipper Kids (Brian Routh, Martin von Haselberg), Geoffrey Hendricks, Gilbert & George, Richard Prince, Pruitt & Early, Cary S. Leibowitz/Candyass, Levin Larmon, John DeFazio, Kate Millett, Louise Bourgeois, Diane Arbus, David Dashiell, Harmony Hammond, Betye Saar, Carrie Moyer, Charles LeDray, Charles Demuth, Thomas Lanigan-Schmidt, McDermott and McGough, Kate Delos, Jack Smith, Suzanne Lacy, Vincent Fecteau, Nicole Eisenman, Reginal Marsh, Keith Haring, Larry Johnson, Claes Oldenberg, Donna Han, Carolee Schneemann, Stuart Sherman, Alan Saret, Jerome Caja, Richmond Burton, Monica Majoli, Richard Hawkins, Tee A. Corinne, David Hockney, Lari Pittman, Jim Hodges, Marlene McCarty, Barbara Kruger, The Sex Pistols, Jenny Holzer, George Maciunas, Lyle Ashton Harris, Lutz Bacher, Roni Horn, Siobhan Liddell, Louise Fishman, Catherine Opie, Tony Feher, Sally Elesby, Nicholas Mouffarege, Jack Pierson, Joseph Cornell, Martin Wong, Hunter Reynolds, Teresa A. Smith",,"January 11-April 9, 1995","Galleries 1, 2, 3",Lawrence Rinder,With Nayland Blake,,Catalog,,,,,x
553,Endspace: Michael Bell and Hans Hofmann,,,Michael Bell;Hans Hofmann,"January 18-July 16, 1995",Gallery A,Lawrence Rinder,,,,,,,,
555,Urban Revisions: Current Projects for the Public Realm / Urban Diaries: Walter Hood,,,Walter Hood,"March 15-July 16, 1995",Gallery B,Nina Hubbs,"Organized by the Museum of Contemporary Art, Los Angeles, Elizabeth Smith, curator",,,,,,,
556,Jumping Lines: Maisin Art and Rainforest Conservation/ MATRIX 165,,,,"April 15-July 1, 1995",Gallery 1,Lawrence Rinder ,With Lafcadio Cortesi (Greenpeace Pacific),,,Brochure,,,,
557,MFA,,,Kevin Bean;Montero Black;Christopher Carter;Mark Grotjahn;Bovey Lee;Timothy R. Lynn;John Michellini;Maria Neacsu;Martin Lam Nguyen;Madeline Nieto;Cleo Papanikolas;Rachel Philips;Christopher Schramm;and Kyungmi Shin,"April 29-May 28, 1995","Galleries 2, 3",Lawrence Rinder,,,,,,,,
558,The All-Seeing Eye: Photographs by Lewis Callaghan,,,Lewis Callaghan,"May 17-June 25, 1995",,Jacquelynn Baas ,"Carolyn Guile, guest curator",,,,,,,
559,Suzan Frecon: Watercolors and Small Paintings,,,Suzan Frecon,"June 7-July 30, 1995",Gallery 2,Lawrence Rinder,,,,,,,,
560,"David Lance Goines: UAM PFA Posters, 1972-95",,,David Lance Goines,"July 1-August 20, 1995",Theater Gallery,Stephen Gong,,,,,,,,
561,Helene Aylon: Bridge of Knots,,,Helene Aylon,"July 15-September 3, 1995",Museum exterior,Lawrence Rinder,,,,,,,,
562,Agnes Martin/ MATRIX 166 [On a Clear Day screenprints],,,Agnes Martin,"July 15-September 21, 1995",Gallery 1,Lawrence Rinder ,"Co-Organized with The MacKenzie Art Gallery, Regina, Saskatchewan, Cindy Richmond, co-curator",,,Brochure,,,,
563,Anniversary Gifts to the Collection Part I,,,,"August 2, 1995-January 21, 1996",Gallery B,"Jackie Baas, Larry Rinder, James Steward",,,,,,x,,
564,"The New Child: British Art and Origins of Modern Childhood, 1730-1830",,,,"August 23-November 19, 1995","Galleries 2, 3",James Steward,,,,,,,,
565,We Look and See,,,,"August 30-November 12, 1995",Theater Gallery,James Steward,"With Marcia Tanner, guest curator [contemporary photographs of children in conjunctionWith The New Child]",,,,,,,
566,"Conrad Atkinson: Dorothy, Jack, Théodore, Diego, and a Horse of a Different Color / MATRIX 167",,,Conrad Atkinson,"October 4-December 31, 1995",Gallery 1,Lawrence Rinder,,,,Brochure,,,,
567,Eighteenth-Century Kyoto and the Emergence of the Maruyama-Shijo School,,,,"October 18, 1995-May 1996","Galleries C, D","Sheila Keppel, guest curator",,,,,,,,
568,In the Light of Goya,,,,"November 18, 1995-February 4, 1996",Theater Gallery,James Steward,"With Enrique Chagoya, guest curator",,,,,,,
569,Chris Marker / MATRIX 168,,,Chris Marker,"January 1-April 14, 1996",Gallery 1,Steve Seid,,,,Brochure,,,,
570,Louise Bourgeois: Drawings,,,Louise Bourgeois,"January 24-March 24, 1996","Galleries 2, 3",Lawrence Rinder,,,,,,,,
914,Paz Errazuriz / MATRIX 251,,,Paz Errazuriz,"January 17-March 30, 2014","Gallery 1, Theater Gallery",Apsara DiQuinzio,,,,Brochure,,,,
915,Barbara Chase-Riboud,,,,"February 12-April 27, 2014",Gallery 5,Lucinda Barnes,Organized by Philadelphia Museum of Art,,Catalog,,,x,,
916,Anna Maria Maiolino / MATRIX 252,,,Anna Maria Maiolino,"January 17-March 30, 2014",Gallery 1,Apsara DiQuinzio,,,,Brochure,,,,
917,Will Rogan / MATRIX 253,,,Will Rogan,"April 11-June 29, 2014",Gallery 1,Apsara DiQuinzio,,,,Brochure,,,,
918,Forrest Bess: Seeing Things Visible,,,Forrest Bess,"June 11-September 14, 2014",Gallery 2,Lucinda Barnes,Organized by the de Menil. Curated by: Assistant Curator Clare Elliott.,,Catalog,Brochure,,,,
